promo_id,promo_code,discount_type,discount_value,min_order_value,valid_from,valid_until,applicable_cuisine,max_uses
PROMO001,WEEKEND20,FLAT,100,200,2025-11-27,2026-03-08,,1000
PROMO002,FIRSTBITE,FLAT,200,200,2025-12-26,2026-05-31,Pizza,2000
PROMO003,BIRYANI50,PERCENTAGE,50,0,2026-01-01,2026-05-21,,5000
PROMO004,LUNCHSPECIAL,FLAT,100,200,2026-02-07,2026-06-08,Italian,100
PROMO005,DINNERDEAL,FLAT,100,0,2026-01-20,2026-03-24,Desserts,10000
PROMO006,FLAT100,PERCENTAGE,20,500,2026-01-10,2026-03-07,,500
PROMO007,FLAT200,PERCENTAGE,30,0,2025-12-29,2026-06-29,South Indian,10000
PROMO008,NEWUSER30,PERCENTAGE,20,200,2025-12-10,2026-06-13,Pizza,500
PROMO009,LOYAL15,FLAT,100,300,2026-01-20,2026-05-07,Biryani,10000
PROMO010,MONSOON25,FLAT,200,200,2025-12-12,2026-05-02,North Indian,1000
PROMO011,SUMMERFEST,FLAT,50,500,2026-01-27,2026-04-19,North Indian,100
PROMO012,WINTERSALE,FLAT,150,200,2025-10-06,2026-05-19,Street Food,1000
PROMO013,PIZZATIME,FLAT,150,200,2025-11-21,2026-03-18,Street Food,5000
PROMO014,SWIGGYOFF,PERCENTAGE,50,300,2026-02-11,2026-05-01,Biryani,5000
PROMO015,FRESHSTART,PERCENTAGE,30,300,2025-10-27,2026-04-23,,500
PROMO016,HAPPYHOURS,PERCENTAGE,30,300,2025-12-29,2026-04-03,Desserts,500
PROMO017,MIDNIGHT20,FLAT,100,500,2026-01-31,2026-06-24,Chinese,500
PROMO018,EARLYBIRD,PERCENTAGE,15,300,2026-02-11,2026-03-13,North Indian,10000
PROMO019,LATENIGHT,FLAT,200,500,2025-11-27,2026-04-04,Biryani,1000
PROMO020,WEEKDAY10,PERCENTAGE,30,500,2025-12-04,2026-04-03,Mughlai,2000
PROMO021,HYDFOOD,FLAT,100,200,2025-12-17,2026-04-21,Pizza,2000
PROMO022,BLRFOOD,FLAT,50,500,2026-03-01,2026-03-23,South Indian,2000
PROMO023,MUMBAIFEST,FLAT,50,500,2025-10-27,2026-04-01,Continental,10000
PROMO024,DELHIKHAO,PERCENTAGE,50,300,2025-12-23,2026-04-03,,2000
PROMO025,SOUTHINDIAN25,PERCENTAGE,50,300,2025-10-02,2026-05-20,Biryani,1000
PROMO026,MUGHLAI30,FLAT,150,300,2026-02-12,2026-03-06,Mughlai,2000
PROMO027,STREETFOOD,FLAT,150,500,2026-02-10,2026-04-08,South Indian,500
PROMO028,DESSERT20,PERCENTAGE,10,200,2026-01-25,2026-04-25,Biryani,2000
PROMO029,CHINAFEST,PERCENTAGE,15,300,2025-12-13,2026-05-09,North Indian,10000
PROMO030,ITALIANI,PERCENTAGE,20,300,2025-11-02,2026-04-06,,5000
PROMO031,PREMIUMONLY,PERCENTAGE,25,0,2025-11-18,2026-06-21,Continental,500
PROMO032,BUDGETMEAL,FLAT,50,500,2026-01-17,2026-05-29,Continental,1000
PROMO033,COMBO50,FLAT,50,300,2025-10-26,2026-03-14,,5000
PROMO034,FAMILY200,PERCENTAGE,10,0,2025-12-14,2026-05-26,,2000
PROMO035,SOLO100,PERCENTAGE,30,0,2025-11-13,2026-06-15,Pizza,5000
PROMO036,UPIBONUS,PERCENTAGE,20,300,2025-12-12,2026-05-11,,100
PROMO037,CARDPAY,PERCENTAGE,15,500,2026-01-30,2026-03-10,North Indian,2000
PROMO038,WALLET20,FLAT,50,300,2026-01-07,2026-05-22,Desserts,1000
PROMO039,CASHBACK,PERCENTAGE,30,0,2026-03-01,2026-03-13,,2000
PROMO040,REFERRAL50,FLAT,150,500,2026-02-23,2026-06-25,Italian,100
PROMO041,BIRTHDAY30,PERCENTAGE,50,200,2025-10-08,2026-06-10,,5000
PROMO042,ANNIVERSARY,PERCENTAGE,15,0,2026-01-12,2026-04-03,South Indian,5000
PROMO043,CELEBRATE,FLAT,150,300,2025-10-09,2026-03-20,,5000
PROMO044,FESTIVAL25,PERCENTAGE,25,500,2025-12-04,2026-04-11,North Indian,2000
PROMO045,HOLIDAY50,FLAT,300,500,2025-11-03,2026-05-07,Biryani,500
PROMO046,SPRINGFEST,PERCENTAGE,30,500,2025-12-21,2026-04-23,North Indian,2000
PROMO047,AUTUMNBITE,PERCENTAGE,10,0,2026-01-02,2026-05-14,Desserts,100
PROMO048,WINTERWARM,PERCENTAGE,30,0,2025-10-02,2026-05-29,Chinese,100
PROMO049,SUMMERCOOL,PERCENTAGE,20,200,2026-01-25,2026-05-08,North Indian,5000
PROMO050,MONSOONMAGIC,FLAT,300,500,2025-11-11,2026-06-09,,10000
PROMO051,QUICKBITE10,PERCENTAGE,10,200,2025-10-03,2026-04-28,South Indian,100
PROMO052,SPEEDFOOD,PERCENTAGE,25,200,2025-11-12,2026-03-27,,5000
PROMO053,FASTTRACK,FLAT,200,500,2025-11-12,2026-03-15,Continental,1000
PROMO054,TURBO15,PERCENTAGE,20,0,2026-02-26,2026-05-11,Biryani,2000
PROMO055,LIGHTNING,PERCENTAGE,50,200,2026-01-25,2026-06-02,North Indian,5000
PROMO056,MEGA100,PERCENTAGE,50,300,2025-11-09,2026-05-24,Desserts,2000
PROMO057,SUPER200,PERCENTAGE,20,200,2025-12-18,2026-05-14,North Indian,10000
PROMO058,ULTRA300,FLAT,100,500,2025-12-08,2026-05-18,Continental,1000
PROMO059,PRIME50,PERCENTAGE,10,200,2025-11-28,2026-06-29,Chinese,1000
PROMO060,GOLD25,FLAT,300,300,2026-01-25,2026-06-17,North Indian,5000
PROMO061,SILVER15,PERCENTAGE,20,500,2025-11-25,2026-05-22,Desserts,5000
PROMO062,BRONZE10,PERCENTAGE,25,0,2025-10-07,2026-04-14,Continental,5000
PROMO063,PLATINUM,FLAT,150,200,2025-10-05,2026-05-29,,500
PROMO064,DIAMOND100,FLAT,50,300,2026-02-27,2026-05-16,,100
PROMO065,CRYSTAL50,FLAT,50,500,2026-01-28,2026-05-12,Continental,10000
PROMO066,NEWCITY,PERCENTAGE,50,0,2025-11-17,2026-04-29,Pizza,5000
PROMO067,LAUNCH50,PERCENTAGE,20,300,2025-12-07,2026-06-27,Desserts,100
PROMO068,GRAND100,PERCENTAGE,30,0,2026-01-30,2026-05-20,North Indian,5000
PROMO069,OPENING200,FLAT,150,300,2026-02-15,2026-06-03,Mughlai,1000
PROMO070,INTRO25,FLAT,50,0,2026-02-25,2026-06-20,North Indian,2000
PROMO071,HOTDEAL,PERCENTAGE,30,500,2025-12-28,2026-06-03,Desserts,100
PROMO072,FLASHSALE,FLAT,100,0,2025-10-15,2026-05-11,,10000
PROMO073,LIMITED,PERCENTAGE,20,500,2025-10-06,2026-03-11,Pizza,2000
PROMO074,EXCLUSIVE,FLAT,100,300,2026-01-23,2026-04-11,,500
PROMO075,SPECIAL30,PERCENTAGE,20,300,2026-01-04,2026-06-20,,2000
PROMO076,HEALTHY20,PERCENTAGE,50,300,2026-01-17,2026-06-13,Pizza,10000
PROMO077,VEGSPECIAL,PERCENTAGE,10,0,2025-12-26,2026-05-28,,5000
PROMO078,NONVEG25,PERCENTAGE,15,200,2026-01-06,2026-06-18,North Indian,1000
PROMO079,SEAFOOD30,PERCENTAGE,20,300,2026-02-01,2026-05-26,Biryani,100
PROMO080,ORGANIC15,PERCENTAGE,20,0,2026-02-24,2026-05-28,Biryani,2000
